"","author","journal","year","title"
"15","P Verschaffelt, T Van Den Bossche, W Gabriel, M Burdukiewicz, A Soggiu, ...","Journal of Proteome Research",2021,"MegaGO: A Fast Yet Powerful Approach to Assess Functional Gene Ontology Similarity across Meta-Omics Data Sets"
"16","PM Martins, S Navarro, A Silva, MF Pinto, Z Sárkány, F Figueiredo, ...","Frontiers in molecular neuroscience",2020,"MIRRAGGE–minimum information required for reproducible AGGregation experiments"
"17","S Rödiger, M Burdukiewicz, AN Spiess, K Blagodatskikh","Bioinformatics",2017,"Enabling reproducible real-time quantitative PCR research: the RDML package"
"18","M Burdukiewicz, AN Spiess, KA Blagodatskikh, W Lehmann, P Schierack, ...","Biomolecular Detection and Quantification",2018,"Algorithms for automated detection of hook effect-bearing amplification curves"
"19","W Puchała, M Burdukiewicz, M Kistowski, KA Dąbrowska, ...","Bioinformatics",2020,"HaDeX: an R package and web-server for analysis of data from hydrogen–deuterium exchange mass spectrometry experiments"
"20","D Mackiewicz, P Posacki, M Burdukiewicz, P Błażej","Scientific reports",2018,"Role of recombination and faithfulness to partner in sex chromosome degeneration"
"21","M Burdukiewicz, S Rödiger, P Sobczyk, M Menschikowski, P Schierack, ...","Biomolecular Detection and Quantification",2016,"Methods for comparing multiple digital PCR experiments"
"22","M Burdukiewicz, K Sidorczuk, D Rafacz, F Pietluch, M Bąkała, J Słowik, ...","Pharmaceutics",2020,"CancerGram: An Effective Classifier for Differentiating Anticancer from Antimicrobial Peptides"
"23","R Kolenda, M Burdukiewicz, M Wimonć, A Aleksandrowicz, A Ali, I Szabo, ...","Applied and environmental microbiology",2021,"Identification of natural mutations responsible for altered infection phenotypes of Salmonella enterica clinical isolates by using cell line infection screens"
"24","LFB Christensen, SH Alijanvand, M Burdukiewicz, FA Herbst, H Kjeldal, ...","Protein Science",2021,"Identification of amyloidogenic proteins in the microbiomes of a rat Parkinson's disease model and wild‐type rats"
"25","N Szulc, M Burdukiewicz, M Gąsior-Głogowska, JW Wojciechowski, ...","Scientific reports",2021,"Bioinformatics methods for identification of amyloidogenic peptides show robustness to misannotated training data"
"26","N Szulc, M Gąsior-Głogowska, JW Wojciechowski, M Szefczyk, AM Żak, ...","International Journal of Molecular Sciences",2021,"Variability of Amyloid Propensity in Imperfect Repeats of CsgA Protein of Salmonella enterica and Escherichia coli"
"27","M Burdukiewicz, F Pietluch, J Chilimoniuk, K Sidorczuk, D Rafacz, ...","R Journal",2019,"Conference report: Why r? 2019"
"28","J Chilimoniuk, A Gosiewska, J Słowik, R Weiss, PM Deckert, S Rödiger, ...","Annals of Translational Medicine",2021,"countfitteR: efficient selection of count distributions to assess DNA damage"
"29","MJ Burdukiewicz, P Sobczyk, S Rödiger, A Duda-Madej, P Mackiewicz, ...","PeerJ Preprints",2016,"Prediction of amyloidogenicity based on the n-gram analysis"
"30","K Sidorczuk, P Gagat, F Pietluch, J Kała, D Rafacz, L Bąkała, J Słowik, ...","Briefings in Bioinformatics",2022,"Benchmarks in antimicrobial peptide prediction are biased due to the selection of negative data"
"31","M Burdukiewicz, AN Spiess, D Rafacz, K Blagodatskikh, S Rödiger","Journal of Open Source Software",2022,"PCRedux: A Quantitative PCR Machine Learning Toolkit"
"32","M Zaręba-Kozioł, M Burdukiewicz, A Wysłouch-Cieszyńska","Biomolecules",2022,"Intracellular Protein S-Nitrosylation—A Cells Response to Extracellular S100B and RAGE Receptor"
"33","J Sawicki, M Burdukiewicz","arXiv preprint arXiv:",2022,"VisQualdex--the comprehensive guide to good data visualization"
"34","R Kolenda, K Sidorczuk, M Noszka, A Aleksandrowicz, MM Khan, ...","Microbial Genomics",2021,"Genome placement of alpha-haemolysin cluster is associated with alpha-haemolysin sequence variation, adhesin and iron acquisition factor profile of Escherichia coli"
"35","P Verschaffelt, T Van Den Bossche, W Gabriel, M Burdukiewicz, A Soggiu, ...","bioRxiv",2020,"MegaGO: a fast yet powerful approach to assess functional similarity across meta-omics data sets"
"36","M Burdukiewicz, M Karas, LE Jessen, M Kosinski, B Bischl, S Rödiger","",NA,"Conference Report: Why R? 2018"
